file,R2,r,trait,mode,cv,sp
dtp_1d2_cv4_sp7.ghatREL1,0.449979942454984,0.670805443071972,dtp,1d2,cv4,sp7.ghatREL1
dtp_1d2_cv4_sp8.ghatREL1,0.253267187178922,0.503256581853553,dtp,1d2,cv4,sp8.ghatREL1
dtp_1d2_cv4_sp9.ghatREL1,0.592877185359523,0.769985185155873,dtp,1d2,cv4,sp9.ghatREL1
dtp_1d2_cv5_sp10.ghatREL1,0.4112159094616,0.641261186617122,dtp,1d2,cv5,sp10.ghatREL1
dtp_1d2_cv5_sp1.ghatREL1,0.247098747544999,0.49709028108081,dtp,1d2,cv5,sp1.ghatREL1
dtp_1d2_cv5_sp2.ghatREL1,0.288279828180079,0.536916965815087,dtp,1d2,cv5,sp2.ghatREL1
dtp_1d2_cv5_sp3.ghatREL1,0.732135284494776,0.855649042829346,dtp,1d2,cv5,sp3.ghatREL1
dtp_1d2_cv5_sp4.ghatREL1,0.66216854211047,0.813737391368044,dtp,1d2,cv5,sp4.ghatREL1
dtp_1d2_cv5_sp5.ghatREL1,0.08895102235573,0.298246579788822,dtp,1d2,cv5,sp5.ghatREL1
dtp_1d2_cv5_sp6.ghatREL1,0.555311564589481,0.745192300409418,dtp,1d2,cv5,sp6.ghatREL1
dtp_1d2_cv5_sp7.ghatREL1,0.807297535072941,0.898497376219286,dtp,1d2,cv5,sp7.ghatREL1
dtp_1d2_cv5_sp8.ghatREL1,0.535603591446578,0.731849432223991,dtp,1d2,cv5,sp8.ghatREL1
dtp_1d2_cv5_sp9.ghatREL1,0.434768794785446,0.659369998396535,dtp,1d2,cv5,sp9.ghatREL1
dts_1a2_cv1_sp10.ghatREL1,0.241245790177535,0.491167782104582,dts,1a2,cv1,sp10.ghatREL1
dts_1a2_cv1_sp1.ghatREL1,0.342408802146861,0.585157074764427,dts,1a2,cv1,sp1.ghatREL1
dts_1a2_cv1_sp2.ghatREL1,0.210207653140784,0.458484081665639,dts,1a2,cv1,sp2.ghatREL1
dts_1a2_cv1_sp3.ghatREL1,0.26772477919369,0.517421278257563,dts,1a2,cv1,sp3.ghatREL1
dts_1a2_cv1_sp4.ghatREL1,0.00500618438152703,0.0707543947859568,dts,1a2,cv1,sp4.ghatREL1
dts_1a2_cv1_sp5.ghatREL1,0.127807931700421,0.357502352020824,dts,1a2,cv1,sp5.ghatREL1
dts_1a2_cv1_sp6.ghatREL1,0.114501321965087,0.338380439690428,dts,1a2,cv1,sp6.ghatREL1
dts_1a2_cv1_sp7.ghatREL1,0.149247526654271,0.386325674340019,dts,1a2,cv1,sp7.ghatREL1
dts_1a2_cv1_sp8.ghatREL1,0.023939239448009,0.154723105734111,dts,1a2,cv1,sp8.ghatREL1
dts_1a2_cv1_sp9.ghatREL1,0.479081783854926,0.692157340389399,dts,1a2,cv1,sp9.ghatREL1
dts_1a2_cv2_sp10.ghatREL1,0.0269486012670241,0.164160291383221,dts,1a2,cv2,sp10.ghatREL1
dts_1a2_cv2_sp1.ghatREL1,0.0837581366742208,0.28940998026022,dts,1a2,cv2,sp1.ghatREL1
dts_1a2_cv2_sp2.ghatREL1,0.32128824930524,0.566822943524025,dts,1a2,cv2,sp2.ghatREL1
dts_1a2_cv2_sp3.ghatREL1,0.0249601246172868,0.15798773565466,dts,1a2,cv2,sp3.ghatREL1
dts_1a2_cv2_sp4.ghatREL1,0.153087511028437,0.391263991479458,dts,1a2,cv2,sp4.ghatREL1
dts_1a2_cv2_sp5.ghatREL1,0.489033279835245,0.699309144681553,dts,1a2,cv2,sp5.ghatREL1
dts_1a2_cv2_sp6.ghatREL1,0.201181730449148,0.448532864402541,dts,1a2,cv2,sp6.ghatREL1
dts_1a2_cv2_sp7.ghatREL1,0.0512315745062959,0.226343929687314,dts,1a2,cv2,sp7.ghatREL1
dts_1a2_cv2_sp8.ghatREL1,0.338144268970023,0.581501735999148,dts,1a2,cv2,sp8.ghatREL1
dts_1a2_cv2_sp9.ghatREL1,0.234943875493697,0.484710094276668,dts,1a2,cv2,sp9.ghatREL1
dts_1a2_cv3_sp10.ghatREL1,0.379333659817272,0.615900689898357,dts,1a2,cv3,sp10.ghatREL1
dts_1a2_cv3_sp1.ghatREL1,0.256754935357365,0.506709912432513,dts,1a2,cv3,sp1.ghatREL1
dts_1a2_cv3_sp2.ghatREL1,0.17324665483265,0.416229089363838,dts,1a2,cv3,sp2.ghatREL1
dts_1a2_cv3_sp3.ghatREL1,0.428980265574923,0.654965850693701,dts,1a2,cv3,sp3.ghatREL1
dts_1a2_cv3_sp4.ghatREL1,0.352666399514019,0.593857221488481,dts,1a2,cv3,sp4.ghatREL1
dts_1a2_cv3_sp5.ghatREL1,0.00598306842584299,-0.0773502968697793,dts,1a2,cv3,sp5.ghatREL1
dts_1a2_cv3_sp6.ghatREL1,0.13171954007587,0.362931866988653,dts,1a2,cv3,sp6.ghatREL1
